"id","citrus fruit","tropical fruit","whole milk","other vegetables","rolls/buns","chocolate","bottled water","yogurt","sausage","root vegetables","pastry","soda","cream","basket_value","recency_days","cluster0","cluster1","cluster2","cluster3","cluster4","low_value_basket","medium_value_basket","high_value_basket"
114,,,,,,,,,,,,,"Yes",5.1,32,,,,"Yes",,,"Yes",
115,"Yes",,,,,,,,,,,,,1.1,2,,,,,"Yes","Yes",,
116,,"Yes","Yes",,,,,"Yes",,,,,,4.8,29,,,,"Yes",,,"Yes",
117,,,"Yes",,"Yes",,,,,,,,,3.4,50,,,,"Yes",,,"Yes",
118,,,"Yes","Yes",,,,,,,,"Yes",,4.2,31,,,,"Yes",,,"Yes",
119,,,"Yes",,,,,,,,,"Yes","Yes",8,15,"Yes",,,,,,,"Yes"
120,,,,"Yes",,,,,,,"Yes",,,5.4,76,,,"Yes",,,,"Yes",
121,,,,,,,,,"Yes",,,,,4.9,27,,,,"Yes",,,"Yes",
123,,,,,,,,,,,"Yes","Yes",,5.8,76,,,"Yes",,,,"Yes",
124,,,,"Yes",,,,,,,,,,1.3,9,,,,,"Yes","Yes",,
126,"Yes","Yes","Yes",,,,,,"Yes",,,,"Yes",14.4,17,"Yes",,,,,,,"Yes"
129,,,,,"Yes",,,,"Yes",,,,,7.1,6,"Yes",,,,,,,"Yes"
132,,,"Yes",,,,,"Yes",,,,,,2.7,74,,,"Yes",,,"Yes",,
134,,,,,,,,,,,,"Yes",,1.7,53,,,"Yes",,,"Yes",,
136,,"Yes",,"Yes",,,,,,,,,,3.4,48,,,,"Yes",,,"Yes",
137,,,,,,,,,,,,"Yes",,1.7,70,,,"Yes",,,"Yes",,
138,,,,,"Yes",,,,,,,,,2.2,70,,,"Yes",,,"Yes",,
141,,,"Yes",,"Yes",,,,"Yes",,,,,8.3,8,"Yes",,,,,,,"Yes"
142,,,,"Yes",,,,,,,,,,1.3,9,,,,,"Yes","Yes",,
143,,,"Yes",,,,,,,,,,,1.2,7,,,,,"Yes","Yes",,
144,,,"Yes",,,,,,,,,,,1.2,6,,,,,"Yes","Yes",,
145,"Yes",,,,,,,,,,,,"Yes",6.2,8,"Yes",,,,,,,"Yes"
146,,,,,"Yes",,,,,,,,,2.2,71,,,"Yes",,,"Yes",,
147,,,"Yes","Yes","Yes",,,,,,,,,4.7,36,,,,"Yes",,,"Yes",
148,,,,,,,,"Yes",,,,"Yes",,3.2,48,,,,"Yes",,,"Yes",
149,"Yes",,,,"Yes",,"Yes",,,,,,,4.7,30,,,,"Yes",,,"Yes",
151,,,"Yes","Yes",,"Yes",,,,,,,,5.6,67,,,"Yes",,,,"Yes",
152,"Yes",,,,,,,,"Yes",,,,,6,17,"Yes",,,,,,,"Yes"
153,,,,,"Yes",,,,,,,,,2.2,76,,,"Yes",,,"Yes",,
154,,,,"Yes",,,,"Yes",,,,,,2.8,26,,,,"Yes",,,"Yes",
155,,,"Yes","Yes",,,,"Yes",,"Yes",,,,5.6,53,,,"Yes",,,,"Yes",
158,,,"Yes",,"Yes",,"Yes",,,,,"Yes",,6.5,13,"Yes",,,,,,,"Yes"
159,,"Yes","Yes","Yes",,,,,,,,,,4.6,49,,,,"Yes",,,"Yes",
161,,,"Yes",,"Yes",,,,,,,,,3.4,32,,,,"Yes",,,"Yes",
162,,,,,,,,,,,,"Yes",,1.7,75,,,"Yes",,,"Yes",,
163,,"Yes",,,,,"Yes",,,,,,,3.5,38,,,,"Yes",,,"Yes",
165,,,,"Yes",,,,,,,,,,1.3,9,,,,,"Yes","Yes",,
166,,,,,,,,,,,,"Yes",,1.7,61,,,"Yes",,,"Yes",,
167,,,"Yes",,,,,,,"Yes",,,,2.8,26,,,,"Yes",,,"Yes",
168,,,"Yes",,,,,,,,"Yes",,,5.3,76,,,"Yes",,,,"Yes",
170,,,,"Yes",,,,,,,,,,1.3,9,,,,,"Yes","Yes",,
171,,"Yes","Yes","Yes",,,,,,,,,,4.6,37,,,,"Yes",,,"Yes",
172,,,,"Yes",,,,,,,,,,1.3,9,,,,,"Yes","Yes",,
175,,,,,,"Yes",,,,,,"Yes",,4.8,49,,,,"Yes",,,"Yes",
176,,,"Yes",,,,,,,,,,"Yes",6.3,13,"Yes",,,,,,,"Yes"
177,,,"Yes",,,,,,,,,,,1.2,6,,,,,"Yes","Yes",,
178,,,,,,,,,,,,,"Yes",5.1,29,,,,"Yes",,,"Yes",
179,,,,,,,,,"Yes",,,,,4.9,49,,,,"Yes",,,"Yes",
180,,,,"Yes",,,"Yes",,,,,,,2.7,55,,,"Yes",,,"Yes",,
181,,,"Yes",,"Yes",,,,,,,,,3.4,50,,,,"Yes",,,"Yes",
182,,,,"Yes",,,,,,,,,"Yes",6.4,17,"Yes",,,,,,,"Yes"
183,,,,"Yes",,,"Yes",,,,,,,2.7,54,,,"Yes",,,"Yes",,
184,,,,,,,,,,,,"Yes",,1.7,57,,,"Yes",,,"Yes",,
186,,"Yes","Yes","Yes",,,,"Yes",,"Yes",,,"Yes",12.8,3,"Yes",,,,,,,"Yes"
187,,,,,"Yes",,,,,,,,,2.2,72,,,"Yes",,,"Yes",,
188,,,,,,,,,,,,,"Yes",5.1,43,,,,"Yes",,,"Yes",
189,,"Yes","Yes",,,,,,,,,,,3.3,26,,,,"Yes",,,"Yes",
190,,,,"Yes",,,,,,,,,,1.3,9,,,,,"Yes","Yes",,
194,,,,,"Yes",,,,,,,,,2.2,68,,,"Yes",,,"Yes",,
195,,,,,,,,,,,,"Yes",,1.7,66,,,"Yes",,,"Yes",,
196,,,"Yes",,,,,,,"Yes",,,,2.8,27,,,,"Yes",,,"Yes",
199,"Yes",,,,,,,,,,,,,1.1,2,,,,,"Yes","Yes",,
200,,,,,,,,,"Yes",,,,,4.9,27,,,,"Yes",,,"Yes",
202,,,,,,"Yes",,,,,,,,3.1,39,,,,"Yes",,,"Yes",
203,,,,,"Yes",,,,,,,,,2.2,63,,,"Yes",,,"Yes",,
205,,,"Yes",,,,"Yes",,,,,,,2.6,68,,,"Yes",,,"Yes",,
206,,,,,"Yes",,,,,,,,,2.2,65,,,"Yes",,,"Yes",,
207,,,"Yes","Yes",,,,,,"Yes",,,,4.1,30,,,,"Yes",,,"Yes",
208,"Yes",,,,,,,,,,"Yes",,,5.2,76,,,"Yes",,,,"Yes",
210,,,,,"Yes",,,,,,"Yes","Yes",,8,76,,"Yes",,,,,,"Yes"
211,,,,,,,"Yes","Yes",,,,"Yes",,4.6,42,,,,"Yes",,,"Yes",
213,,,,"Yes",,,,"Yes","Yes",,,"Yes",,9.4,9,"Yes",,,,,,,"Yes"
214,,,"Yes",,,,,,,,,"Yes",,2.9,28,,,,"Yes",,,"Yes",
215,,,"Yes",,"Yes",,,,"Yes",,,,,8.3,19,"Yes",,,,,,,"Yes"
218,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
221,,,,,,,,,"Yes",,,"Yes",,6.6,1,"Yes",,,,,,,"Yes"
223,"Yes",,"Yes","Yes","Yes",,,,"Yes",,,,"Yes",15.8,9,"Yes",,,,,,,"Yes"
226,,,,,"Yes",,,,"Yes",,,"Yes",,8.8,16,"Yes",,,,,,,"Yes"
228,,"Yes",,,,,,,,,,,,2.1,62,,,"Yes",,,"Yes",,
229,,,,,"Yes",,,,,,,,"Yes",7.3,7,"Yes",,,,,,,"Yes"
231,,"Yes",,"Yes",,,"Yes",,,"Yes",,,,6.4,12,"Yes",,,,,,,"Yes"
232,"Yes",,,"Yes","Yes",,"Yes",,,,,,"Yes",11.1,21,"Yes",,,,,,,"Yes"
233,,,"Yes",,,,"Yes",,,,,,,2.6,63,,,"Yes",,,"Yes",,
234,,,,,"Yes",,,,"Yes",,,,,7.1,11,"Yes",,,,,,,"Yes"
235,,,,,"Yes",,,,"Yes","Yes",,,,8.7,22,"Yes",,,,,,,"Yes"
236,,,,"Yes","Yes",,,,,,,,,3.5,27,,,,"Yes",,,"Yes",
237,,,,,,,,,,"Yes",,,,1.6,75,,,"Yes",,,"Yes",,
238,,,"Yes","Yes","Yes",,,,,"Yes",,,,6.3,4,"Yes",,,,,,,"Yes"
239,,,"Yes",,,,,,,,,,"Yes",6.3,19,"Yes",,,,,,,"Yes"
240,"Yes",,"Yes",,"Yes",,,"Yes",,,,,"Yes",11.1,21,"Yes",,,,,,,"Yes"
241,"Yes",,,,,,,,,,"Yes",,,5.2,76,,,"Yes",,,,"Yes",
242,,,"Yes","Yes",,,"Yes",,,,,"Yes",,5.6,55,,,"Yes",,,,"Yes",
243,"Yes",,"Yes",,"Yes",,,,,,,,,4.5,33,,,,"Yes",,,"Yes",
244,,,,,,,,,"Yes",,,,,4.9,34,,,,"Yes",,,"Yes",
245,,,"Yes",,,,"Yes",,,"Yes",,,,4.2,31,,,,"Yes",,,"Yes",
246,,,,,"Yes",,"Yes",,,,,,,3.6,32,,,,"Yes",,,"Yes",
247,,,,,"Yes","Yes",,,,,,"Yes","Yes",12.1,14,"Yes",,,,,,,"Yes"
249,,,,"Yes","Yes",,,,,,,"Yes","Yes",10.3,23,"Yes",,,,,,,"Yes"
250,,,"Yes",,,,,,,,,,,1.2,6,,,,,"Yes","Yes",,
251,,,,,"Yes",,,,,,,"Yes",,3.9,27,,,,"Yes",,,"Yes",
252,,,"Yes",,"Yes",,"Yes","Yes","Yes",,,,,11.2,3,"Yes",,,,,,,"Yes"
253,,,,,,,,,,,,,"Yes",5.1,45,,,,"Yes",,,"Yes",
255,,,,"Yes",,,,,,,,,,1.3,9,,,,,"Yes","Yes",,
256,,,,"Yes",,,,"Yes",,"Yes",,,,4.4,50,,,,"Yes",,,"Yes",
257,,,,,,,,,,,,"Yes",,1.7,58,,,"Yes",,,"Yes",,
258,,,,,,,,,,,,"Yes",,1.7,57,,,"Yes",,,"Yes",,
259,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,,"Yes",,20.5,26,"Yes",,,,,,,"Yes"
260,,,"Yes",,,,,,,"Yes",,,,2.8,27,,,,"Yes",,,"Yes",
261,,,,"Yes",,,,,,"Yes","Yes",,,7,76,,"Yes",,,,,,"Yes"
263,,,,,,"Yes",,,,,,,,3.1,36,,,,"Yes",,,"Yes",
266,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
267,,,,,"Yes",,,,"Yes",,,,"Yes",12.2,13,"Yes",,,,,,,"Yes"
268,,"Yes","Yes","Yes",,,,,,,,"Yes",,6.3,5,"Yes",,,,,,,"Yes"
270,,,,,,,,,,"Yes",,,,1.6,58,,,"Yes",,,"Yes",,
271,"Yes",,"Yes",,,,,,,"Yes",,"Yes",,5.6,57,,,"Yes",,,,"Yes",
272,,,,,"Yes",,"Yes",,,,,,,3.6,42,,,,"Yes",,,"Yes",
273,,"Yes",,,,,,,,,,,,2.1,54,,,"Yes",,,"Yes",,
274,,"Yes","Yes",,,,,,,"Yes",,,"Yes",10,7,"Yes",,,,,,,"Yes"
275,"Yes",,"Yes","Yes",,,,,,"Yes",,,"Yes",10.3,5,"Yes",,,,,,,"Yes"
276,,,"Yes","Yes","Yes",,"Yes","Yes",,,"Yes",,,11.7,76,,"Yes",,,,,,"Yes"
277,,,"Yes","Yes","Yes",,,"Yes",,,,"Yes","Yes",13,18,"Yes",,,,,,,"Yes"
278,"Yes","Yes","Yes",,"Yes",,,,,"Yes",,,,8.2,23,"Yes",,,,,,,"Yes"
279,"Yes",,"Yes","Yes","Yes",,,,,,,"Yes",,7.5,4,"Yes",,,,,,,"Yes"
281,,,,,,,,,,,"Yes",,,4.1,76,,,"Yes",,,,"Yes",
282,,,"Yes",,,,"Yes","Yes",,,,,,4.1,41,,,,"Yes",,,"Yes",
284,"Yes","Yes",,,,,,,,,,,,3.2,34,,,,"Yes",,,"Yes",
285,,,"Yes",,"Yes",,,"Yes","Yes",,,,,9.8,6,"Yes",,,,,,,"Yes"
286,,,"Yes",,,,,,,,"Yes",,,5.3,76,,,"Yes",,,,"Yes",
288,"Yes",,,,,,,,,,,,,1.1,2,,,,,"Yes","Yes",,
290,"Yes",,,"Yes","Yes",,,,,,,,,4.6,34,,,,"Yes",,,"Yes",
291,,,,,,,,,"Yes",,,,,4.9,50,,,,"Yes",,,"Yes",
292,,,"Yes","Yes",,,"Yes",,,,,,,3.9,37,,,,"Yes",,,"Yes",
293,,,"Yes","Yes",,,,"Yes",,"Yes",,,"Yes",10.7,20,"Yes",,,,,,,"Yes"
294,,,,"Yes",,,,"Yes","Yes",,,"Yes",,9.4,16,"Yes",,,,,,,"Yes"
295,,,"Yes",,,,,,,"Yes",,,"Yes",7.9,11,"Yes",,,,,,,"Yes"
296,"Yes",,,,,,"Yes","Yes",,,,,,4,44,,,,"Yes",,,"Yes",
300,"Yes",,,"Yes",,,,"Yes",,,,,,3.9,30,,,,"Yes",,,"Yes",
301,,,,,"Yes",,,,"Yes",,,,,7.1,3,"Yes",,,,,,,"Yes"
302,,,,,"Yes",,,"Yes",,"Yes",,,,5.3,56,,,"Yes",,,,"Yes",
305,,,,,,"Yes",,,,,,"Yes",,4.8,34,,,,"Yes",,,"Yes",
306,,"Yes",,,,,,,,,,,"Yes",7.2,15,"Yes",,,,,,,"Yes"
307,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
308,,,,,,,,,,,"Yes",,,4.1,76,,,"Yes",,,,"Yes",
309,,"Yes","Yes",,,,,"Yes","Yes","Yes",,,,11.3,25,"Yes",,,,,,,"Yes"
311,,,"Yes",,,,,,,,,,,1.2,6,,,,,"Yes","Yes",,
312,"Yes",,,,,,,,,,"Yes",,,5.2,76,,,"Yes",,,,"Yes",
313,,,,,,,,,,,,,"Yes",5.1,35,,,,"Yes",,,"Yes",
315,,,,"Yes",,,,"Yes",,,,,,2.8,27,,,,"Yes",,,"Yes",
316,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
317,,"Yes",,,,,,,,,,"Yes",,3.8,47,,,,"Yes",,,"Yes",
319,"Yes",,,,,,,"Yes","Yes",,,"Yes",,9.2,16,"Yes",,,,,,,"Yes"
320,,,,,,,,,,"Yes",,,,1.6,67,,,"Yes",,,"Yes",,
322,,,,,"Yes",,,,,,,,,2.2,67,,,"Yes",,,"Yes",,
323,,"Yes","Yes",,,,,,,,,,,3.3,29,,,,"Yes",,,"Yes",
325,,,,"Yes",,,"Yes","Yes",,,,,,4.2,50,,,,"Yes",,,"Yes",
326,,,,"Yes",,"Yes",,,,"Yes",,,"Yes",11.1,14,"Yes",,,,,,,"Yes"
328,,"Yes",,,"Yes",,,"Yes",,,,"Yes",,7.5,13,"Yes",,,,,,,"Yes"
329,,,,"Yes","Yes","Yes",,,,,,"Yes","Yes",13.4,8,"Yes",,,,,,,"Yes"
331,,,,,"Yes",,,"Yes",,,,"Yes",,5.4,54,,,"Yes",,,,"Yes",
332,,,,,,"Yes",,,,,,"Yes",,4.8,50,,,,"Yes",,,"Yes",
333,,,,,,,,"Yes",,,,,,1.5,71,,,"Yes",,,"Yes",,
334,,,,,,,,,,,,"Yes",,1.7,71,,,"Yes",,,"Yes",,
335,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
336,,,,,,,,,"Yes",,,,,4.9,41,,,,"Yes",,,"Yes",
337,"Yes",,,,,,,,,,,"Yes",,2.8,27,,,,"Yes",,,"Yes",
340,,,"Yes","Yes",,,,,,,,,,2.5,62,,,"Yes",,,"Yes",,
341,"Yes",,"Yes",,,,,,"Yes",,,,,7.2,16,"Yes",,,,,,,"Yes"
342,,,,,"Yes",,,,,,,,,2.2,61,,,"Yes",,,"Yes",,
345,,,,,"Yes",,,,,,"Yes","Yes","Yes",13.1,76,,"Yes",,,,,,"Yes"
346,,,,"Yes",,"Yes",,,,,,,,4.4,43,,,,"Yes",,,"Yes",
347,"Yes",,,,,,,,,,,,,1.1,2,,,,,"Yes","Yes",,
348,,,"Yes",,,,,,,,,,,1.2,6,,,,,"Yes","Yes",,
349,,,"Yes",,,,,,,"Yes",,,,2.8,27,,,,"Yes",,,"Yes",
350,,"Yes","Yes",,,,,,,,,,,3.3,38,,,,"Yes",,,"Yes",
352,,,,,,,,,,,,,"Yes",5.1,49,,,,"Yes",,,"Yes",
354,,,,,,,,,,,,,"Yes",5.1,47,,,,"Yes",,,"Yes",
355,,,,,,"Yes",,,,"Yes",,,,4.7,42,,,,"Yes",,,"Yes",
356,,,"Yes",,,,,,,,,"Yes",,2.9,44,,,,"Yes",,,"Yes",
359,,,,,"Yes",,,,,,,,,2.2,53,,,"Yes",,,"Yes",,
360,,,"Yes",,,,,,,,,,,1.2,6,,,,,"Yes","Yes",,
361,,,"Yes",,,,,,,,,,,1.2,6,,,,,"Yes","Yes",,
362,"Yes",,"Yes",,,,,,,,,,,2.3,67,,,"Yes",,,"Yes",,
363,,,,,,,,,,,"Yes",,,4.1,76,,,"Yes",,,,"Yes",
364,,,,,,,,,"Yes",,,,,4.9,34,,,,"Yes",,,"Yes",
365,,"Yes","Yes",,,,,,,"Yes",,,"Yes",10,23,"Yes",,,,,,,"Yes"
366,,,,,,,,"Yes","Yes","Yes","Yes",,"Yes",17.2,76,,"Yes",,,,,,"Yes"
367,,,"Yes","Yes",,,,,,"Yes",,,,4.1,46,,,,"Yes",,,"Yes",
368,,,,,"Yes",,,,,,"Yes",,,6.3,76,,,"Yes",,,,,"Yes"
369,,,,,,,,,,"Yes",,,,1.6,72,,,"Yes",,,"Yes",,
370,,,,,,,,"Yes",,,,,,1.5,68,,,"Yes",,,"Yes",,
371,,,,"Yes",,,"Yes",,,,,,,2.7,53,,,"Yes",,,"Yes",,
374,,,,"Yes",,,"Yes",,,,,,,2.7,65,,,"Yes",,,"Yes",,
375,,,,,"Yes",,,,,,,,,2.2,61,,,"Yes",,,"Yes",,
376,"Yes",,"Yes",,"Yes",,,,,,"Yes",,"Yes",13.7,76,,"Yes",,,,,,"Yes"
377,,,"Yes",,,,,,,,,,,1.2,6,,,,,"Yes","Yes",,
378,,"Yes",,,"Yes",,"Yes",,,,,,,5.7,56,,,"Yes",,,,"Yes",
379,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
380,,,,,,,,"Yes",,,,,,1.5,56,,,"Yes",,,"Yes",,
384,,,,,,,,,,,,,"Yes",5.1,48,,,,"Yes",,,"Yes",
386,,,,"Yes",,,,,"Yes",,"Yes",,"Yes",15.4,76,,"Yes",,,,,,"Yes"
387,,,,,,,,,,,"Yes",,,4.1,76,,,"Yes",,,,"Yes",
388,,"Yes",,,"Yes",,,,"Yes",,,,,9.2,10,"Yes",,,,,,,"Yes"
390,,,"Yes",,,,,,,,,,,1.2,6,,,,,"Yes","Yes",,
393,,,,,"Yes",,"Yes","Yes",,,"Yes","Yes",,10.9,76,,"Yes",,,,,,"Yes"
394,,,,,,,,,,,,"Yes",,1.7,53,,,"Yes",,,"Yes",,
396,,,"Yes",,,,,,"Yes",,,,,6.1,11,"Yes",,,,,,,"Yes"
397,,,,,,"Yes",,"Yes",,,,,,4.6,50,,,,"Yes",,,"Yes",
398,,,,,"Yes",,,,,,,,,2.2,74,,,"Yes",,,"Yes",,
399,,,"Yes",,,,,,,,,,,1.2,6,,,,,"Yes","Yes",,
400,,,"Yes","Yes",,,,,,,,,"Yes",7.6,15,"Yes",,,,,,,"Yes"
402,,,,"Yes",,,,,,,,,,1.3,9,,,,,"Yes","Yes",,
403,,,"Yes",,"Yes",,,"Yes",,,,,,4.9,33,,,,"Yes",,,"Yes",
404,,,"Yes","Yes","Yes",,,,,,,,,4.7,41,,,,"Yes",,,"Yes",
